Model,Threshold,delta,power (W),Hours in Use
Model 1,10,0,0.2,7.060305556
Model 1,10,0,0.3,4.722166667
Model 1,10,0,0.4,3.553166667
Model 1,10,0,0.5,2.851027778
Model 1,11,0,0.2,6.315111111
Model 1,11,0,0.3,4.220166667
Model 1,11,0,0.4,3.172916667
Model 1,11,0,0.5,2.543916667
Model 1,12,0,0.2,5.598361111
Model 1,12,0,0.3,3.742222222
Model 1,12,0,0.4,2.814083333
Model 1,12,0,0.5,2.256972222
Model 1,13,0,0.2,4.908555556
Model 1,13,0,0.3,3.281972222
Model 1,13,0,0.4,2.468722222
Model 1,13,0,0.5,1.980472222
Model 1,14,0,0.2,4.250722222
Model 1,14,0,0.3,2.842805556
Model 1,14,0,0.4,2.138694444
Model 1,14,0,0.5,1.716611111
Model 1,15,0,0.2,3.614722222
Model 1,15,0,0.3,2.420722222
Model 1,15,0,0.4,1.823083333
Model 1,15,0,0.5,1.46425
Model 1,10,0.2,0.2,7.244194444
Model 1,10,0.2,0.3,4.839555556
Model 1,10,0.2,0.4,3.637416667
Model 1,10,0.2,0.5,2.91575
Model 1,11,0.2,0.2,6.457277778
Model 1,11,0.2,0.3,4.314194444
Model 1,11,0.2,0.4,3.243611111
Model 1,11,0.2,0.5,2.600861111
Model 1,12,0.2,0.2,5.735416667
Model 1,12,0.2,0.3,3.832833333
Model 1,12,0.2,0.4,2.881555556
Model 1,12,0.2,0.5,2.311166667
Model 1,13,0.2,0.2,5.0395
Model 1,13,0.2,0.3,3.368805556
Model 1,13,0.2,0.4,2.533333333
Model 1,13,0.2,0.5,2.032194444
Model 1,14,0.2,0.2,4.374305556
Model 1,14,0.2,0.3,2.924388889
Model 1,14,0.2,0.4,2.200083333
Model 1,14,0.2,0.5,1.764333333
Model 1,15,0.2,0.2,3.743694444
Model 1,15,0.2,0.3,2.503638889
Model 1,15,0.2,0.4,1.883833333
Model 1,15,0.2,0.5,1.511666667
Model 1,10,0.4,0.2,7.389472222
Model 1,10,0.4,0.3,4.936694444
Model 1,10,0.4,0.4,3.709555556
Model 1,10,0.4,0.5,2.974333333
Model 1,11,0.4,0.2,6.597416667
Model 1,11,0.4,0.3,4.408027778
Model 1,11,0.4,0.4,3.313305556
Model 1,11,0.4,0.5,2.656694444
Model 1,12,0.4,0.2,5.869388889
Model 1,12,0.4,0.3,3.921888889
Model 1,12,0.4,0.4,2.948361111
Model 1,12,0.4,0.5,2.364611111
Model 1,13,0.4,0.2,5.166472222
Model 1,13,0.4,0.3,3.453388889
Model 1,13,0.4,0.4,2.596805556
Model 1,13,0.4,0.5,2.083138889
Model 1,14,0.4,0.2,4.492972222
Model 1,14,0.4,0.3,3.003861111
Model 1,14,0.4,0.4,2.259361111
Model 1,14,0.4,0.5,1.812055556
Model 1,15,0.4,0.2,3.853722222
Model 1,15,0.4,0.3,2.576277778
Model 1,15,0.4,0.4,1.938194444
Model 1,15,0.4,0.5,1.555138889
Model 1,10,0.6,0.2,7.534166667
Model 1,10,0.6,0.3,5.032333333
Model 1,10,0.6,0.4,3.781833333
Model 1,10,0.6,0.5,3.031527778
Model 1,11,0.6,0.2,6.734694444
Model 1,11,0.6,0.3,4.499388889
Model 1,11,0.6,0.4,3.381666667
Model 1,11,0.6,0.5,2.711305556
Model 1,12,0.6,0.2,6.000694444
Model 1,12,0.6,0.3,4.009916667
Model 1,12,0.6,0.4,3.014027778
Model 1,12,0.6,0.5,2.416888889
Model 1,13,0.6,0.2,5.290694444
Model 1,13,0.6,0.3,3.535333333
Model 1,13,0.6,0.4,2.657611111
Model 1,13,0.6,0.5,2.131027778
Model 1,14,0.6,0.2,4.608972222
Model 1,14,0.6,0.3,3.080916667
Model 1,14,0.6,0.4,2.316027778
Model 1,14,0.6,0.5,1.857361111
Model 1,15,0.6,0.2,3.958055556
Model 1,15,0.6,0.3,2.645944444
Model 1,15,0.6,0.4,1.989722222
Model 1,15,0.6,0.5,1.596722222
Model 1,10,0.8,0.2,7.6755
Model 1,10,0.8,0.3,5.126805556
Model 1,10,0.8,0.4,3.852944444
Model 1,10,0.8,0.5,3.087861111
Model 1,11,0.8,0.2,6.869638889
Model 1,11,0.8,0.3,4.589166667
Model 1,11,0.8,0.4,3.448833333
Model 1,11,0.8,0.5,2.76475
Model 1,12,0.8,0.2,6.129333333
Model 1,12,0.8,0.3,4.095111111
Model 1,12,0.8,0.4,3.077611111
Model 1,12,0.8,0.5,2.467611111
Model 1,13,0.8,0.2,5.41125
Model 1,13,0.8,0.3,3.61575
Model 1,13,0.8,0.4,2.717388889
Model 1,13,0.8,0.5,2.179138889
Model 1,14,0.8,0.2,4.720555556
Model 1,14,0.8,0.3,3.153916667
Model 1,14,0.8,0.4,2.371472222
Model 1,14,0.8,0.5,1.901583333
Model 1,15,0.8,0.2,4.058305556
Model 1,15,0.8,0.3,2.712777778
Model 1,15,0.8,0.4,2.039916667
Model 1,15,0.8,0.5,1.636277778
Model 1,10,1,0.2,7.815944444
Model 1,10,1,0.3,5.220777778
Model 1,10,1,0.4,3.923277778
Model 1,10,1,0.5,3.143805556
Model 1,11,1,0.2,7.007027778
Model 1,11,1,0.3,4.685555556
Model 1,11,1,0.4,3.525027778
Model 1,11,1,0.5,2.827333333
Model 1,12,1,0.2,6.255416667
Model 1,12,1,0.3,4.178972222
Model 1,12,1,0.4,3.140777778
Model 1,12,1,0.5,2.517194444
Model 1,13,1,0.2,5.531083333
Model 1,13,1,0.3,3.694472222
Model 1,13,1,0.4,2.776833333
Model 1,13,1,0.5,2.225555556
Model 1,14,1,0.2,4.825472222
Model 1,14,1,0.3,3.223194444
Model 1,14,1,0.4,2.422305556
Model 1,14,1,0.5,1.942583333
Model 1,15,1,0.2,4.155638889
Model 1,15,1,0.3,2.776138889
Model 1,15,1,0.4,2.086666667
Model 1,15,1,0.5,1.673361111
Model 1,10,1.2,0.2,7.954416667
Model 1,10,1.2,0.3,5.312527778
Model 1,10,1.2,0.4,3.991111111
Model 1,10,1.2,0.5,3.1995
Model 1,11,1.2,0.2,7.174972222
Model 1,11,1.2,0.3,4.792111111
Model 1,11,1.2,0.4,3.600361111
Model 1,11,1.2,0.5,2.886166667
Model 1,12,1.2,0.2,6.377222222
Model 1,12,1.2,0.3,4.25925
Model 1,12,1.2,0.4,3.20075
Model 1,12,1.2,0.5,2.565361111
Model 1,13,1.2,0.2,5.641944444
Model 1,13,1.2,0.3,3.768527778
Model 1,13,1.2,0.4,2.832638889
Model 1,13,1.2,0.5,2.270638889
Model 1,14,1.2,0.2,4.9235
Model 1,14,1.2,0.3,3.291
Model 1,14,1.2,0.4,2.472611111
Model 1,14,1.2,0.5,1.982861111
Model 1,15,1.2,0.2,4.243805556
Model 1,15,1.2,0.3,2.836666667
Model 1,15,1.2,0.4,2.130722222
Model 1,15,1.2,0.5,1.708194444
Model 1,10,1.4,0.2,8.087555556
Model 1,10,1.4,0.3,5.401388889
Model 1,10,1.4,0.4,4.057194444
Model 1,10,1.4,0.5,3.251777778
Model 1,11,1.4,0.2,7.301083333
Model 1,11,1.4,0.3,4.876222222
Model 1,11,1.4,0.4,3.664
Model 1,11,1.4,0.5,2.935444444
Model 1,12,1.4,0.2,6.494166667
Model 1,12,1.4,0.3,4.337666667
Model 1,12,1.4,0.4,3.258333333
Model 1,12,1.4,0.5,2.611083333
Model 1,13,1.4,0.2,5.748444444
Model 1,13,1.4,0.3,3.83925
Model 1,13,1.4,0.4,2.884611111
Model 1,13,1.4,0.5,2.313138889
Model 1,14,1.4,0.2,5.024694444
Model 1,14,1.4,0.3,3.356694444
Model 1,14,1.4,0.4,2.522111111
Model 1,14,1.4,0.5,2.021944444
Model 1,15,1.4,0.2,4.330583333
Model 1,15,1.4,0.3,2.894583333
Model 1,15,1.4,0.4,2.175722222
Model 1,15,1.4,0.5,1.743055556
